ssc_name, ssc2011
Notting Hill,21036
Nowa Nowa,21037
Nullawarre,21038
Numurkah,21039
Nunawading,21040
Nungurner,21041
Nutfield,21042
Nyah,21043
Nyah West,21044
Nyora (Vic.),21045
Oak Park,21046
Oaklands Junction,21047
Oakleigh,21048
Oakleigh East,21049
Oakleigh South,21050
Ocean Grange,21051
Ocean Grove,21052
Officer,21053
Olinda (Vic.),21054
Omeo,21055
Orbost,21056
Ormond,21057
Orrvale,21058
Osbornes Flat,21059
Outtrim,21060
Ouyen,21061
Oxley (Vic.),21062
Pakenham,21063
Pakenham South,21064
Pakenham Upper,21065
Panmure,21066
Panton Hill,21067
Paraparap,21068
Park Orchards,21069
Parkdale,21070
Parkville (Vic.),21071
Parwan,21072
Pascoe Vale,21073
Pascoe Vale South,21074
Patchewollock,21075
Patterson Lakes,21076
Paynesville (Vic.),21077
Pearcedale,21078
Peechelba,21079
Penshurst (Vic.),21080
Pental Island,21081
Peterborough (Vic.),21082
Pheasant Creek (Vic.),21083
Piangil,21084
Picola,21085
Pimpinio,21086
Pine Grove (Vic.),21087
Pine Lodge (Vic.),21088
Pioneer Bay,21089
Pirron Yallock,21090
Plenty (Vic.),21091
Plumpton (Vic.),21092
Point Cook,21093
Point Leo,21094
Point Lonsdale,21095
Pomborneit,21096
Pomonal,21097
Poowong,21098
Poowong North,21099
Porepunkah,21100
Port Albert,21101
Port Campbell,21102
Port Fairy,21103
Port Melbourne,21104
Port Welshpool,21105
Portarlington,21106
Portland (Vic.),21107
Portland North,21108
Portland West,21109
Portsea,21110
Powelltown,21111
Prahran,21112
Preston (Vic.),21113
Princes Hill,21114
Princetown,21115
Puckapunyal,21116
Purnim,21117
Pyalong,21118
Pyramid Hill,21119
Quambatook,21120
Quantong,21121
Quarry Hill,21122
Queenscliff (Vic.),21123
Raglan (Vic.),21124
Rainbow,21125
Ravenhall,21126
Ravenswood (Vic.),21127
Rawson,21128
Raymond Island,21129
Raywood,21130
Red Cliffs,21131
Red Hill (Vic.),21132
Red Hill South,21133
Redan,21134
Redesdale,21135
Reedy Creek (Vic.),21136
Reedy Flat,21137
Research,21138
Reservoir (Vic.),21139
Rheola,21140
Rhyll,21141
Richmond (Vic.),21142
Riddells Creek,21143
Ringwood (Vic.),21144
Ringwood East,21145
Ringwood North,21146
Ripplebrook,21147
Rippleside,21148
Ripponlea,21149
Riverside (Vic.),21150
Robertsons Beach,21151
Robinvale,21152
Robinvale Irrigation District Section B,21153
Robinvale Irrigation District Section C,21154
Robinvale Irrigation District Section E,21155
Rochester (Vic.),21156
Rockbank,21157
Rokeby (Vic.),21158
Rokewood,21159
Romsey,21160
Rosanna,21161
Rosebrook (Vic.),21162
Rosebud,21163
Rosebud West,21164
Rosedale (Vic.),21165
Rosewhite,21166
Ross Creek (Vic.),21167
Rowsley,21168
Rowville,21169
Roxburgh Park,21170
Ruffy,21171
Rupanyup,21172
Rushworth,21173
Russells Bridge,21174
Rutherglen,21175
Rye,21176
Safety Beach (Vic.),21177
Sailors Gully,21178
Sale,21179
San Remo (Vic.),21180
Sandford (Vic.),21181
Sandhurst,21182
Sandon (Vic.),21183
Sandringham (Vic.),21184
Sandy Point (Vic.),21185
Sarsfield,21186
Sassafras (Vic.),21187
Scarsdale,21188
Scoresby,21189
Scotts Creek (Vic.),21190
Sea Lake,21191
Seabrook,21192
Seaford (Vic.),21193
Seaholme,21194
Seaspray,21195
Seaton (Vic.),21196
Sebastian,21197
Sebastopol (Vic.),21198
Seddon (Vic.),21199
Sedgwick,21200
Selby,21201
Serpentine (Vic.),21202
Serviceton,21203
Seville,21204
Seville East,21205
Seymour (Vic.),21206
Shady Creek,21207
She Oaks,21208
Shelbourne,21209
Shelford,21210
Shepparton,21211
Shepparton East,21212
Shepparton North,21213
Sherbrooke,21214
Shoreham,21215
Silvan,21216
Silverleaves,21217
Simpson (Vic.),21218
Skenes Creek,21219
Skipton,21220
Skye (Vic.),21221
Smeaton,21222
Smiths Beach,21223
Smiths Gully,21224
Smythes Creek,21225
Smythesdale,21226
Snake Valley,21227
Soldiers Hill (Vic.),21228
Somers,21229
Somerton (Vic.),21230
Somerville (Vic.),21231
Sorrento (Vic.),21232
South Dudley,21233
South Geelong,21234
South Kingsville,21235
South Melbourne,21236
South Morang,21237
South Purrumbete,21238
South Wharf,21239
South Yarra,21240
Southbank,21241
Spotswood,21242
Spring Gully (Vic.),21243
Springbank,21244
Springhurst,21245
Springvale (Vic.),21246
Springvale South,21247
St Albans (Vic.),21248
St Albans Park,21249
St Andrews (Vic.),21250
St Andrews Beach,21251
St Arnaud,21252
St Helena,21253
St James (Vic.),21254
St Kilda (Vic.),21255
St Kilda East,21256
St Kilda West,21257
St Leonards (Vic.),21258
Staghorn Flat,21259
Stanhope (Vic.),21260
Stanley (Vic.),21261
Stawell,21262
Steels Creek,21263
Stony Creek (South Gippsland - Vic.),21264
Stradbroke,21265
Stratford (Vic.),21266
Strath Creek,21267
Strathbogie,21268
Strathdale,21269
Strathdownie,21270
Strathewen,21271
Strathfieldsaye,21272
Strathmerton,21273
Strathmore (Vic.),21274
Strathmore Heights,21275
Streatham,21276
Strzelecki (Vic.),21277
Sugarloaf Creek,21278
Sulky,21279
Sunbury,21280
Sunset Strip (Vic.),21281
Sunshine (Vic.),21282
Sunshine North,21283
Sunshine West,21284
Surf Beach (Vic.),21285
Surrey Hills,21286
Swan Hill,21287
Swan Marsh,21288
Swan Reach (Vic.),21289
Swanpool,21290
Swifts Creek,21291
Sydenham (Vic.),21292
Taggerty,21293
Talbot (Vic.),21294
Talgarno,21295
Tallangatta,21296
Tallangatta South,21297
Tallangatta Valley,21298
Tallarook,21299
Tallygaroopna,21300
Tambo Upper,21301
Taminick,21302
Tangambalanga,21303
Tanjil Bren,21304
Tanjil South,21305
Taradale (Vic.),21306
Tarnagulla,21307
Tarneit,21308
Tarrawingee,21309
Tarrington,21310
Tarwin Lower,21311
Tatong,21312
Tatura,21313
Tatura East,21314
Tatyoon,21315
Tawonga,21316
Tawonga South,21317
Taylor Bay,21318
Taylors Hill,21319
Taylors Lakes,21320
Tecoma,21321
Teesdale (Vic.),21322
Telopea Downs,21323
Templestowe,21324
Templestowe Lower,21325
Tenby Point,21326
Terang,21327
The Basin (Vic.),21328
The Gurdies,21329
The Patch,21330
Thomastown,21331
Thomson (Greater Geelong - Vic.),21332
Thornbury,21333
Thornton (Vic.),21334
Thorpdale,21335
Three Bridges,21336
Timboon,21337
Tinamba,21338
Tol Tol,21339
Tolmie,21340
Tom Groggin,21341
Tongala,21342
Tonimbuk,21343
Tooborac,21344
